[LOG] INFO [OrderEventManagerBase::setLoggerLogFile] Logger log file set to: RegressionTests/Baseline/MatchingEngineMonitorLobsterOutput.baseline.txt
[LOG] INFO Lobster messages:
    time,    type,     oid,     qty,      px,     dir
       5,       1,       0,       5,  990000,       1
      10,       1,       1,       5, 1010000,      -1
      15,       1,       2,       6,  980000,       1
      20,       1,       3,       6, 1020000,      -1
      25,       1,       4,       7,  970000,       1
      30,       1,       5,       7, 1030000,      -1
      35,       1,       6,       8,  960000,       1
      40,       1,       7,       8, 1040000,      -1
      45,       1,       8,       9,  950000,       1
      50,       1,       9,       9, 1050000,      -1
      55,       1,      10,      10,  940000,       1
      60,       1,      11,      10, 1060000,      -1
      65,       1,      12,      10,  930000,       1
      70,       1,      13,      10, 1070000,      -1
      75,       1,      14,      10,  920000,       1
      80,       1,      15,      10, 1080000,      -1
      85,       1,      16,      10,  910000,       1
      90,       1,      17,      10, 1090000,      -1
      95,       1,      18,      10,  900000,       1
     100,       1,      19,      10, 1100000,      -1
     205,       4,      40,       3, 1010000,       1
     212,       4,      41,       1, 1010000,       1
     219,       1,      42,       1,  986000,       1
     224,       1,      43,       3, 1000000,      -1
     229,       4,      44,       2,  990000,      -1
     236,       1,      45,       2,  966000,       1
     241,       1,      46,       1, 1003600,      -1
     246,       4,      47,       3, 1000000,       1
     253,       1,      48,       3, 1018000,      -1
     258,       1,      49,       2, 1015400,      -1

[LOG] INFO Lobster snapshots:
   ap001,   as001,   bp001,   bs001,   ap002,   as002,   bp002,   bs002,   ap003,   as003,   bp003,   bs003,   ap004,   as004,   bp004,   bs004,   ap005,   as005,   bp005,   bs005
 1010000,       5,  990000,       5, 1020000,       6,  980000,       6, 1030000,       7,  970000,       7, 1040000,       8,  960000,       8, 1050000,       9,  950000,       9
 1010000,       5,  990000,       5, 1020000,       6,  980000,       6, 1030000,       7,  970000,       7, 1040000,       8,  960000,       8, 1050000,       9,  950000,       9
 1010000,       5,  990000,       5, 1020000,       6,  980000,       6, 1030000,       7,  970000,       7, 1040000,       8,  960000,       8, 1050000,       9,  950000,       9
 1010000,       5,  990000,       5, 1020000,       6,  980000,       6, 1030000,       7,  970000,       7, 1040000,       8,  960000,       8, 1050000,       9,  950000,       9
 1010000,       5,  990000,       5, 1020000,       6,  980000,       6, 1030000,       7,  970000,       7, 1040000,       8,  960000,       8, 1050000,       9,  950000,       9
 1010000,       5,  990000,       5, 1020000,       6,  980000,       6, 1030000,       7,  970000,       7, 1040000,       8,  960000,       8, 1050000,       9,  950000,       9
 1010000,       5,  990000,       5, 1020000,       6,  980000,       6, 1030000,       7,  970000,       7, 1040000,       8,  960000,       8, 1050000,       9,  950000,       9
 1010000,       5,  990000,       5, 1020000,       6,  980000,       6, 1030000,       7,  970000,       7, 1040000,       8,  960000,       8, 1050000,       9,  950000,       9
 1010000,       2,  990000,       5, 1020000,       6,  980000,       6, 1030000,       7,  970000,       7, 1040000,       8,  960000,       8, 1050000,       9,  950000,       9
 1010000,       1,  990000,       5, 1020000,       6,  980000,       6, 1030000,       7,  970000,       7, 1040000,       8,  960000,       8, 1050000,       9,  950000,       9
 1010000,       1,  990000,       5, 1020000,       6,  986000,       1, 1030000,       7,  980000,       6, 1040000,       8,  970000,       7, 1050000,       9,  960000,       8
 1000000,       3,  990000,       5, 1010000,       1,  986000,       1, 1020000,       6,  980000,       6, 1030000,       7,  970000,       7, 1040000,       8,  960000,       8
 1000000,       3,  990000,       3, 1010000,       1,  986000,       1, 1020000,       6,  980000,       6, 1030000,       7,  970000,       7, 1040000,       8,  960000,       8
 1000000,       3,  990000,       3, 1010000,       1,  986000,       1, 1020000,       6,  980000,       6, 1030000,       7,  970000,       7, 1040000,       8,  966000,       2
 1000000,       3,  990000,       3, 1003600,       1,  986000,       1, 1010000,       1,  980000,       6, 1020000,       6,  970000,       7, 1030000,       7,  966000,       2
 1003600,       1,  990000,       3, 1010000,       1,  986000,       1, 1020000,       6,  980000,       6, 1030000,       7,  970000,       7, 1040000,       8,  966000,       2
 1003600,       1,  990000,       3, 1010000,       1,  986000,       1, 1018000,       3,  980000,       6, 1020000,       6,  970000,       7, 1030000,       7,  966000,       2
 1003600,       1,  990000,       3, 1010000,       1,  986000,       1, 1015400,       2,  980000,       6, 1018000,       3,  970000,       7, 1020000,       6,  966000,       2

